customer_id,first_name,last_name,email,phone_number,date_of_birth,gender,address,city,state,zip_code,country,account_creation_date,customer_segment,account_status,preferred_contact_method,credit_score,annual_income
CUST_000001,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,1958-06-20,Other,"65423 Garcia Light
West Melanieview, AS 06196",Herrerafurt,Colorado,72858,USA,2022-01-16,Individual,Active,SMS,550,83513
CUST_000002,Courtney,Mcclure,barbara10@example.net,441.731.6475,1966-12-17,Male,"283 Steven Groves
Lake Mark, WI 07832",Port Antonio,Massachusetts,53082,USA,2021-12-01,Enterprise,Active,Email,732,33331
CUST_000003,Jason,Hahn,jason76@example.net,724.523.8849x696,2007-05-30,Male,"01226 Paul Ranch Suite 848
Lake Jenniferside, WV 35474",Danielchester,Hawaii,59971,USA,2020-08-04,Individual,Active,Email,503,195363
CUST_000004,Jennifer,Cortez,williamrodriguez@example.net,289-332-5288x0957,2003-02-10,Other,"03911 Cabrera Trace Apt. 278
West Allison, PA 55962",New Karina,Vermont,26866,USA,2024-02-22,Enterprise,Active,App,584,26703
CUST_000005,Raymond,Powers,samuel87@example.org,531.250.9839,1949-01-19,Male,"05183 Caldwell Forest
Lake Selena, OK 76026",Sanchezfort,Nebraska,25458,USA,2021-01-18,Enterprise,Active,SMS,459,81443
CUST_000006,Donna,Gomez,uowens@example.org,+1-610-965-1333x87262,1960-04-26,Female,"PSC 7810, Box 8013
APO AE 53770",Olsonfurt,Arkansas,22080,USA,2022-06-22,Individual,Active,Email,667,115165
CUST_000007,Tricia,Baker,smitchell@example.net,+1-272-734-3098,1948-03-07,Other,"81219 Emma Freeway
Wilsonshire, IA 76381",New Christophershire,Oregon,69023,USA,2022-02-28,Small Business,Active,App,849,57722
CUST_000008,Jose,Santiago,john62@example.net,+1-647-451-0799x1183,2003-05-17,Female,"4278 Carr Valley
Lake Lisaport, TN 14078",West Darrell,Connecticut,97811,USA,2023-05-06,Individual,Active,SMS,496,43233
CUST_000009,Joseph,Jacobs,james48@example.com,801-264-0052x427,1951-08-18,Male,"USNS Gardner
FPO AA 76851",South David,Maryland,48296,USA,2025-01-27,Enterprise,Active,SMS,381,86024
CUST_000010,Laura,Valencia,jason31@example.com,001-686-492-3226x02563,1994-03-08,Male,"3375 Hoover Well
East Andrew, ID 52728",Joshualand,Wyoming,37086,USA,2022-05-02,Small Business,Active,SMS,466,122040
CUST_000011,William,Frazier,sheila14@example.org,001-340-819-6556,2001-03-31,Female,"608 Michael Cliff
Cindyville, VA 39864",Elizabethmouth,Montana,91885,USA,2022-01-21,Individual,Active,Email,475,165021
CUST_000012,David,Fisher,lbyrd@example.net,001-746-980-4436,1972-05-30,Other,"214 Davis Terrace Apt. 433
North Brandon, NJ 80621",South Robertshire,Illinois,94656,USA,2024-01-23,Individual,Active,App,576,192772
CUST_000013,Troy,Sanchez,staffordmichelle@example.org,001-763-928-7083x17278,1983-03-06,Other,"727 Green Gateway Suite 873
Scottport, IA 36115",Luisside,Colorado,18637,USA,2021-05-01,Enterprise,Active,SMS,357,85043
CUST_000014,Patrick,Hernandez,calebrussell@example.net,760.636.6909x670,1992-01-18,Male,"893 Robinson Mews Suite 065
Ramseymouth, PW 17229",South Brittanytown,Colorado,84747,USA,2022-09-21,Small Business,Active,Email,516,173682
CUST_000015,Michelle,White,nicholas37@example.com,264-564-1708x05310,1957-02-20,Other,"27193 Lyons Trafficway
Garyville, WI 21966",Danieltown,Maryland,75971,USA,2023-12-19,Small Business,Active,App,705,193519
CUST_000016,Susan,Sanders,charlesvaughn@example.net,814.791.9058,1948-12-03,Female,"7165 Zimmerman Mews
Lake Aimee, SD 35901",Marshallshire,Louisiana,42746,USA,2024-11-02,Individual,Active,Phone,569,178245
CUST_000017,Mariah,Miller,dsanchez@example.net,+1-665-607-5273x545,1979-08-05,Female,"36783 Brewer Overpass
Mcguireland, LA 29546",Holtport,Texas,76726,USA,2022-06-04,Enterprise,Active,Phone,441,158569
CUST_000018,Angela,Cooper,michael74@example.com,631-335-1823x374,1997-01-12,Female,"40824 Terri Plaza Suite 271
New Justinfort, NV 45158",North Johnny,New Mexico,15454,USA,2024-09-09,Individual,Active,Email,456,189481
CUST_000019,Richard,Jones,hernandezlisa@example.com,831-986-9993,2001-10-24,Male,"9909 Stacey Fords Apt. 412
East Andrea, GA 00851",Hayesfort,Maine,04779,USA,2021-09-25,Enterprise,Active,Email,694,125039
CUST_000020,Jasmine,Warner,ojones@example.com,+1-693-661-8324x2102,1972-03-30,Other,"648 Kim Rapid Apt. 659
Anthonybury, TX 75893",Port Emilyview,Oregon,05774,USA,2024-05-24,Small Business,Active,Email,417,165763
CUST_000021,Gregory,Stone,lmoon@example.net,(871)275-6551x25674,1973-03-26,Female,"68087 Brown Path Suite 977
East Josephberg, LA 57925",Martinezbury,Virginia,21259,USA,2022-02-17,Enterprise,Active,SMS,745,66460
CUST_000022,Alexander,Russell,victoriadurham@example.com,527-948-4677,1979-04-23,Female,"46584 Justin Hills
Grimesmouth, ND 63984",Martinside,Missouri,60183,USA,2025-03-30,Individual,Cancelled,SMS,812,71832
CUST_000023,Molly,Pollard,ashleyhall@example.com,7573662702,1999-08-27,Other,"26217 Morgan Square Suite 158
Finleyfort, VI 71413",New Caseyport,Iowa,98381,USA,2021-01-11,Individual,Suspended,SMS,819,184637
CUST_000024,Tiffany,Hodges,wallaceheather@example.org,8504455623,1955-04-16,Male,"379 Jesse Route Suite 740
Santanaside, GA 10182",Landryshire,Maryland,84247,USA,2025-05-22,Individual,Active,Phone,843,25149
CUST_000025,Hannah,Bryant,james67@example.org,669.259.4406,1980-03-26,Other,"743 Robinson Field
Ericaberg, SC 13236",West Kristinaton,Pennsylvania,48324,USA,2024-03-29,Small Business,Active,Email,671,105612
CUST_000026,Christopher,Phillips,ithompson@example.net,(488)542-4745x171,1998-10-07,Male,"516 Joseph Crossing Suite 549
Carsonstad, CT 88953",South Angel,Oklahoma,43493,USA,2025-02-26,Individual,Active,Email,387,152399
CUST_000027,Jeffrey,Brown,tblankenship@example.net,(712)800-4711x38267,1981-07-31,Male,"179 Crosby Harbors Apt. 537
Sampsonstad, CT 90374",Amystad,Arkansas,52685,USA,2021-12-16,Enterprise,Active,Phone,786,169127
CUST_000028,Tammy,Rush,ndavis@example.net,+1-590-505-3293x1839,1965-04-12,Male,"2284 Daniel Way
East Alexisbury, OR 42938",East Josephberg,West Virginia,55677,USA,2023-03-18,Small Business,Active,App,516,166373
CUST_000029,Julie,Alvarez,william17@example.net,890.884.7007,1987-10-21,Other,"15921 Joshua Roads Suite 698
Shawnchester, CT 92484",Port Dianaside,Washington,28684,USA,2022-09-23,Enterprise,Active,SMS,708,195361
CUST_000030,Pamela,Gutierrez,uross@example.org,465-245-2711x11615,1981-07-11,Female,"165 Parrish Stravenue Apt. 494
Dalehaven, IL 20781",Walkerville,Minnesota,73411,USA,2022-06-01,Small Business,Suspended,App,423,89986
CUST_000031,Kathryn,Andrews,xbruce@example.net,+1-480-494-0244x550,1980-04-04,Male,"018 Nicholas Motorway
Ericport, VA 43018",North Ericton,Utah,11194,USA,2021-12-09,Individual,Active,Phone,525,26885
CUST_000032,Ebony,Tucker,nperry@example.net,256-514-9784,1969-06-25,Male,"43244 Wilson Parks
Thompsonfurt, ND 92732",New Angelica,Texas,46922,USA,2020-12-08,Enterprise,Active,Phone,369,33234
CUST_000033,Michelle,Williams,stevenschristian@example.com,001-769-466-4160,1995-01-23,Female,"61369 Warren Locks Suite 535
North William, DE 70048",Port Michael,Washington,85100,USA,2024-08-27,Individual,Active,SMS,797,81160
CUST_000034,Joel,Thomas,glennhernandez@example.net,727-779-9799,1954-02-02,Other,"449 Michael Cliffs Suite 770
West Marieland, SD 12336",Fordside,West Virginia,05877,USA,2022-10-29,Individual,Active,App,548,148987
CUST_000035,Lisa,Pearson,cassidy82@example.org,415.718.2037x788,1968-01-26,Female,"9051 Davis Springs Suite 449
West Christopher, TN 19038",Kylefurt,Florida,78494,USA,2024-02-15,Individual,Active,App,662,136038
CUST_000036,Christopher,Hansen,lisa81@example.net,+1-468-350-5423x57332,1963-03-20,Female,"592 Moore Falls
Lake Samuel, MT 48250",South Cheryl,Wisconsin,98613,USA,2024-07-01,Small Business,Suspended,Email,400,40889
CUST_000037,Jesus,Allen,mmckee@example.com,+1-297-974-6886x23924,1999-08-25,Female,"814 Kathryn Groves
Whiteheadberg, MP 57841",East Lisastad,Alaska,54882,USA,2020-11-04,Enterprise,Active,Email,554,75224
CUST_000038,Wayne,Young,brooksanthony@example.org,001-352-220-4727x790,1960-09-13,Male,"43410 Robert Underpass Suite 117
Lake Zacharybury, VT 19319",Rubenstad,Kansas,75299,USA,2022-08-30,Enterprise,Active,App,487,98018
